a,b,c,loss
100.0,0.422,0.01,908479758336.0
100.0,0.428,0.01,908516524032.0
100.0,0.434,0.01,909493862400.0
100.0,0.44,0.01,906701504512.0
100.0,0.446,0.01,905077981184.0
100.0,0.452,0.01,904554217472.0
100.0,0.4580000000000001,0.01,905405530112.0
100.0,0.4640000000000001,0.01,905200533504.0
100.0,0.47,0.01,903875002368.0
100.0,0.476,0.01,902383861760.0
100.0,0.482,0.01,903060389888.0
100.0,0.488,0.01,900736286720.0
100.0,0.494,0.01,897304166400.0
100.0,0.5,0.01,897071120384.0
100.0,0.506,0.01,891616952320.0
100.0,0.512,0.01,889884377088.0
100.0,0.518,0.01,891604893696.0
100.0,0.524,0.01,889473990656.0
100.0,0.53,0.01,888993087488.0
100.0,0.536,0.01,891402780672.0
100.0,0.542,0.01,889239044096.0
100.0,0.548,0.01,892830351360.0
100.0,0.554,0.01,895174311936.0
100.0,0.56,0.01,900072144896.0
100.0,0.5660000000000001,0.01,899496280064.0
100.0,0.5720000000000001,0.01,900892327936.0
100.0,0.5780000000000001,0.01,904007712768.0
100.0,0.5840000000000001,0.01,901913182208.0
100.0,0.5900000000000001,0.01,903575240704.0
100.0,0.5960000000000001,0.01,905058844672.0
100.0,0.6020000000000001,0.01,905405202432.0
100.0,0.6080000000000001,0.01,908853903360.0
100.0,0.6140000000000001,0.01,907349262336.0
100.0,0.6200000000000001,0.01,907906056192.0
100.0,0.6260000000000001,0.01,906266279936.0
100.0,0.6320000000000001,0.01,910937358336.0
100.0,0.6380000000000001,0.01,909717209088.0
100.0,0.6440000000000001,0.01,908705660928.0
100.0,0.6500000000000001,0.01,908518752256.0
100.0,0.6560000000000001,0.01,909067026432.0
100.0,0.6620000000000001,0.01,906910040064.0
100.0,0.6680000000000001,0.01,906138157056.0
100.0,0.6740000000000002,0.01,909116964864.0
100.0,0.6800000000000002,0.01,908664438784.0
100.0,0.6860000000000002,0.01,907322654720.0
100.0,0.6920000000000002,0.01,907179851776.0
100.0,0.6980000000000002,0.01,907985158144.0
100.0,0.7040000000000002,0.01,911867117568.0
100.0,0.7100000000000002,0.01,909343850496.0
100.0,0.7160000000000002,0.01,908209881088.0
100.0,0.7220000000000002,0.01,908705005568.0
100.0,0.7280000000000002,0.01,911267463168.0
100.0,0.7340000000000002,0.01,906083041280.0
100.0,0.74,0.01,906349445120.0
100.0,0.746,0.01,906049486848.0
100.0,0.752,0.01,906185015296.0
100.0,0.758,0.01,908376801280.0
100.0,0.764,0.01,906877009920.0
100.0,0.77,0.01,905571729408.0
100.0,0.776,0.01,906015014912.0
100.0,0.782,0.01,905549053952.0
100.0,0.788,0.01,907546066944.0
100.0,0.794,0.01,906564927488.0
100.0,0.8,0.01,907069882368.0
200.0,0.2,0.01,901429329920.0
200.0,0.206,0.01,903013400576.0
200.0,0.212,0.01,904800632832.0
200.0,0.218,0.01,906220470272.0
200.0,0.224,0.01,903516389376.0
200.0,0.23,0.01,902845366272.0
200.0,0.236,0.01,909235453952.0
200.0,0.242,0.01,903477264384.0
200.0,0.248,0.01,903449083904.0
200.0,0.254,0.01,903378698240.0
200.0,0.26,0.01,903381254144.0
200.0,0.266,0.01,908933857280.0
200.0,0.272,0.01,903881555968.0
200.0,0.278,0.01,905577758720.0
200.0,0.284,0.01,906597171200.0
200.0,0.29,0.01,908783517696.0
200.0,0.296,0.01,907841699840.0
200.0,0.302,0.01,905966387200.0
200.0,0.308,0.01,908435521536.0
200.0,0.314,0.01,910208466944.0
200.0,0.32,0.01,905893969920.0
200.0,0.326,0.01,907809456128.0
200.0,0.3320000000000001,0.01,907880890368.0
200.0,0.338,0.01,904765636608.0
200.0,0.344,0.01,912917135360.0
200.0,0.35,0.01,910032371712.0
200.0,0.356,0.01,910263975936.0
200.0,0.362,0.01,905723576320.0
200.0,0.368,0.01,907853430784.0
200.0,0.374,0.01,907895111680.0
200.0,0.38,0.01,907736776704.0
200.0,0.386,0.01,910291173376.0
200.0,0.392,0.01,911914172416.0
200.0,0.398,0.01,911232598016.0
200.0,0.404,0.01,911101394944.0
200.0,0.41,0.01,910408613888.0
200.0,0.416,0.01,915433390080.0
200.0,0.422,0.01,912913203200.0
200.0,0.428,0.01,911464726528.0
200.0,0.434,0.01,913679122432.0
200.0,0.44,0.01,905931522048.0
200.0,0.446,0.01,904853782528.0
200.0,0.452,0.01,909567918080.0
200.0,0.4580000000000001,0.01,907468013568.0
200.0,0.4640000000000001,0.01,903425490944.0
200.0,0.47,0.01,902704791552.0
200.0,0.476,0.01,899433627648.0
200.0,0.482,0.01,899435462656.0
200.0,0.488,0.01,895194169344.0
200.0,0.494,0.01,889078874112.0
200.0,0.5,0.01,886191620096.0
200.0,0.506,0.01,880105357312.0
200.0,0.512,0.01,875475435520.0
200.0,0.518,0.01,871436451840.0
200.0,0.524,0.01,872282259456.0
200.0,0.53,0.01,869896749056.0
200.0,0.536,0.01,874786717696.0
200.0,0.542,0.01,877918158848.0
200.0,0.548,0.01,883820986368.0
200.0,0.554,0.01,887402725376.0
200.0,0.56,0.01,891528216576.0
200.0,0.5660000000000001,0.01,892350169088.0
200.0,0.5720000000000001,0.01,892984164352.0
200.0,0.5780000000000001,0.01,895899795456.0
200.0,0.5840000000000001,0.01,897121517568.0
200.0,0.5900000000000001,0.01,900119330816.0
200.0,0.5960000000000001,0.01,901167775744.0
200.0,0.6020000000000001,0.01,905134800896.0
200.0,0.6080000000000001,0.01,906361438208.0
200.0,0.6140000000000001,0.01,909706526720.0
200.0,0.6200000000000001,0.01,909800570880.0
200.0,0.6260000000000001,0.01,906965352448.0
200.0,0.6320000000000001,0.01,907882790912.0
200.0,0.6380000000000001,0.01,910683209728.0
200.0,0.6440000000000001,0.01,910912978944.0
200.0,0.6500000000000001,0.01,905407561728.0
200.0,0.6560000000000001,0.01,910181728256.0
200.0,0.6620000000000001,0.01,908202868736.0
200.0,0.6680000000000001,0.01,910615379968.0
200.0,0.6740000000000002,0.01,907823480832.0
200.0,0.6800000000000002,0.01,906813505536.0
200.0,0.6860000000000002,0.01,906900078592.0
200.0,0.6920000000000002,0.01,906027335680.0
200.0,0.6980000000000002,0.01,907114315776.0
200.0,0.7040000000000002,0.01,908048662528.0
200.0,0.7100000000000002,0.01,907919228928.0
200.0,0.7160000000000002,0.01,909012107264.0
200.0,0.7220000000000002,0.01,906822615040.0
200.0,0.7280000000000002,0.01,905986703360.0
200.0,0.7340000000000002,0.01,910347927552.0
200.0,0.74,0.01,907822366720.0
200.0,0.746,0.01,905442885632.0
200.0,0.752,0.01,907391336448.0
200.0,0.758,0.01,905746513920.0
200.0,0.764,0.01,905377349632.0
200.0,0.77,0.01,908507480064.0
200.0,0.776,0.01,904124563456.0
200.0,0.782,0.01,907168710656.0
200.0,0.788,0.01,903504592896.0
200.0,0.794,0.01,902936657920.0
200.0,0.8,0.01,907010048000.0
300.0,0.2,0.01,899658153984.0
300.0,0.206,0.01,904427208704.0
300.0,0.212,0.01,901985206272.0
300.0,0.218,0.01,901201723392.0
300.0,0.224,0.01,902053888000.0
300.0,0.23,0.01,901181931520.0
300.0,0.236,0.01,902374424576.0
300.0,0.242,0.01,902677725184.0
300.0,0.248,0.01,903627014144.0
300.0,0.254,0.01,905413066752.0
300.0,0.26,0.01,904345681920.0
300.0,0.266,0.01,903215054848.0
300.0,0.272,0.01,903115702272.0
300.0,0.278,0.01,904638038016.0
300.0,0.284,0.01,908131500032.0
300.0,0.29,0.01,907102257152.0
300.0,0.296,0.01,909094551552.0
300.0,0.302,0.01,909466337280.0
300.0,0.308,0.01,907640242176.0
300.0,0.314,0.01,909834190848.0
300.0,0.32,0.01,909575585792.0
300.0,0.326,0.01,910692384768.0
300.0,0.3320000000000001,0.01,910274002944.0
300.0,0.338,0.01,910555611136.0
300.0,0.344,0.01,909183942656.0
300.0,0.35,0.01,912246505472.0
300.0,0.356,0.01,911488450560.0
300.0,0.362,0.01,914797035520.0
300.0,0.368,0.01,910479982592.0
300.0,0.374,0.01,909885833216.0
300.0,0.38,0.01,913357930496.0
300.0,0.386,0.01,911246229504.0
300.0,0.392,0.01,908095848448.0
300.0,0.398,0.01,919463919616.0
300.0,0.404,0.01,917588017152.0
300.0,0.41,0.01,917295005696.0
300.0,0.416,0.01,916371013632.0
300.0,0.422,0.01,916072431616.0
300.0,0.428,0.01,916136722432.0
300.0,0.434,0.01,915606732800.0
300.0,0.44,0.01,912110125056.0
300.0,0.446,0.01,916174536704.0
300.0,0.452,0.01,905829548032.0
300.0,0.4580000000000001,0.01,904518238208.0
300.0,0.4640000000000001,0.01,900435017728.0
300.0,0.47,0.01,899813539840.0
300.0,0.476,0.01,899257925632.0
300.0,0.482,0.01,892924198912.0
300.0,0.488,0.01,886841802752.0
300.0,0.494,0.01,885970108416.0
300.0,0.5,0.01,878061813760.0
300.0,0.506,0.01,869994070016.0
300.0,0.512,0.01,863847645184.0
300.0,0.518,0.01,863060819968.0
300.0,0.524,0.01,859523317760.0
300.0,0.53,0.01,857528664064.0
300.0,0.536,0.01,861623943168.0
300.0,0.542,0.01,865859862528.0
300.0,0.548,0.01,872763293696.0
300.0,0.554,0.01,880286236672.0
300.0,0.56,0.01,882504237056.0
300.0,0.5660000000000001,0.01,889619480576.0
300.0,0.5720000000000001,0.01,891698544640.0
300.0,0.5780000000000001,0.01,895067095040.0
300.0,0.5840000000000001,0.01,899141468160.0
300.0,0.5900000000000001,0.01,898673213440.0
300.0,0.5960000000000001,0.01,901513216000.0
300.0,0.6020000000000001,0.01,904342339584.0
300.0,0.6080000000000001,0.01,908771721216.0
300.0,0.6140000000000001,0.01,910472642560.0
300.0,0.6200000000000001,0.01,909224902656.0
300.0,0.6260000000000001,0.01,915232718848.0
300.0,0.6320000000000001,0.01,914630770688.0
300.0,0.6380000000000001,0.01,912599810048.0
300.0,0.6440000000000001,0.01,910971109376.0
300.0,0.6500000000000001,0.01,909607501824.0
300.0,0.6560000000000001,0.01,909877313536.0
300.0,0.6620000000000001,0.01,906514923520.0
300.0,0.6680000000000001,0.01,909629718528.0
300.0,0.6740000000000002,0.01,907681923072.0
300.0,0.6800000000000002,0.01,910460256256.0
300.0,0.6860000000000002,0.01,908268273664.0
300.0,0.6920000000000002,0.01,910647492608.0
300.0,0.6980000000000002,0.01,911167979520.0
300.0,0.7040000000000002,0.01,909927448576.0
300.0,0.7100000000000002,0.01,907312889856.0
300.0,0.7160000000000002,0.01,904416722944.0
300.0,0.7220000000000002,0.01,906848239616.0
300.0,0.7280000000000002,0.01,907238047744.0
300.0,0.7340000000000002,0.01,905565175808.0
300.0,0.74,0.01,907907432448.0
300.0,0.746,0.01,910312800256.0
300.0,0.752,0.01,903783186432.0
300.0,0.758,0.01,908818055168.0
300.0,0.764,0.01,906522066944.0
300.0,0.77,0.01,903066419200.0
300.0,0.776,0.01,904583380992.0
300.0,0.782,0.01,906265296896.0
300.0,0.788,0.01,907333468160.0
300.0,0.794,0.01,905578151936.0
300.0,0.8,0.01,907928535040.0
400.0,0.2,0.01,898074935296.0
400.0,0.206,0.01,898952003584.0
400.0,0.212,0.01,897504641024.0
400.0,0.218,0.01,898346188800.0
400.0,0.224,0.01,903037845504.0
400.0,0.23,0.01,904206745600.0
400.0,0.236,0.01,903894466560.0
400.0,0.242,0.01,900869783552.0
400.0,0.248,0.01,901826609152.0
400.0,0.254,0.01,902989807616.0
400.0,0.26,0.01,906357047296.0
400.0,0.266,0.01,907758206976.0
400.0,0.272,0.01,909416595456.0
400.0,0.278,0.01,910151057408.0
400.0,0.284,0.01,907146821632.0
400.0,0.29,0.01,908311789568.0
400.0,0.296,0.01,910950858752.0
400.0,0.302,0.01,911226241024.0
