loc,std,height,loss
0.2,0.01,0.0,906889330688.0
0.2,0.01,100.0,901004066816.0
0.2,0.01,200.0,895727370240.0
0.2,0.01,300.0,894783782912.0
0.2,0.01,400.0,885834383360.0
0.2,0.01,500.0,883868696576.0
0.2,0.01,600.0,882124324864.0
0.2,0.01,700.0,883415973888.0
0.2,0.01,800.0,876635684864.0
0.2,0.01,900.0,885854830592.0
0.2,0.01,1000.0,885143764992.0
0.2,0.01,1100.0,888980504576.0
0.2,0.01,1200.0,894549884928.0
0.2,0.01,1300.0,897543700480.0
0.2,0.01,1400.0,903669809152.0
0.2,0.01,1500.0,910431879168.0
0.2,0.01,1600.0,914148491264.0
0.2,0.01,1700.0,920712642560.0
0.2,0.01,1800.0,929810677760.0
0.2,0.01,1900.0,940631982080.0
0.2,0.01,2000.0,945697587200.0
0.2,0.01,2100.0,956171812864.0
0.2,0.01,2200.0,968513028096.0
0.2,0.01,2300.0,983126638592.0
0.2,0.01,2400.0,995333373952.0
0.2,0.01,2500.0,1009397071872.0
0.2,0.01,2600.0,1024898236416.0
0.2,0.01,2700.0,1041279352832.0
0.2,0.01,2800.0,1063390478336.0
0.2,0.01,2900.0,1082058801152.0
0.2,0.01,3000.0,1104788848640.0
0.2,0.01,3100.0,1129939599360.0
0.2,0.01,3200.0,1152210829312.0
0.2,0.01,3300.0,1173428109312.0
0.2,0.01,3400.0,1203070042112.0
0.2,0.01,3500.0,1233170989056.0
0.2,0.01,3600.0,1268755595264.0
0.2,0.01,3700.0,1300343816192.0
0.2,0.01,3800.0,1334301294592.0
0.2,0.01,3900.0,1373011312640.0
0.2,0.01,4000.0,1413572329472.0
0.2,0.01,4100.0,1452103958528.0
0.2,0.01,4200.0,1487148941312.0
0.2,0.01,4300.0,1525297709056.0
0.2,0.01,4400.0,1568288014336.0
0.2,0.01,4500.0,1615848275968.0
0.2,0.01,4600.0,1659728691200.0
0.2,0.01,4700.0,1714742886400.0
0.2,0.01,4800.0,1767527809024.0
0.2,0.01,4900.0,1822713839616.0
0.2,0.01,5000.0,1879470899200.0
0.2,0.01,5100.0,1939005636608.0
0.2,0.01,5200.0,2004706000896.0
0.2,0.01,5300.0,2071792975872.0
0.2,0.01,5400.0,2150004424704.0
0.2,0.01,5500.0,2208902414336.0
0.2,0.01,5600.0,2296920670208.0
0.2,0.01,5700.0,2388342603776.0
0.2,0.01,5800.0,2475157356544.0
0.2,0.01,5900.0,2565134876672.0
0.2,0.01,6000.0,2660541399040.0
0.2,0.01,6100.0,2749407690752.0
0.2,0.01,6200.0,2849710276608.0
