a,b,c,loss
100.0,0.525,0.041,871008043008.0
100.0,0.525,0.042,871951826944.0
100.0,0.525,0.043000000000000003,868187373568.0
100.0,0.525,0.044,874966024192.0
100.0,0.525,0.045,871114080256.0
100.0,0.525,0.046,867212525568.0
100.0,0.525,0.047,870318211072.0
100.0,0.525,0.048,866895659008.0
100.0,0.525,0.049,867405332480.0
100.0,0.525,0.05,868984946688.0
100.0,0.525,0.051000000000000004,867668328448.0
100.0,0.525,0.052000000000000005,867356311552.0
100.0,0.525,0.053,869256658944.0
100.0,0.525,0.054,871211597824.0
100.0,0.525,0.055,867707322368.0
100.0,0.525,0.056,870434078720.0
100.0,0.525,0.057,869972115456.0
100.0,0.525,0.058,867397074944.0
100.0,0.525,0.059000000000000004,871319011328.0
100.0,0.525,0.06,868287774720.0
100.0,0.525,0.061,865606631424.0
100.0,0.525,0.062,866087141376.0
100.0,0.525,0.063,870131171328.0
100.0,0.525,0.064,869419122688.0
100.0,0.525,0.065,868476846080.0
100.0,0.525,0.066,867728556032.0
100.0,0.525,0.067,868623581184.0
100.0,0.525,0.068,864506347520.0
100.0,0.525,0.069,865709064192.0
100.0,0.525,0.07,868401086464.0
100.0,0.525,0.07100000000000001,866060140544.0
100.0,0.525,0.07200000000000001,870400327680.0
100.0,0.525,0.073,870165315584.0
100.0,0.525,0.074,866735816704.0
100.0,0.525,0.075,866458468352.0
100.0,0.525,0.076,870317555712.0
100.0,0.525,0.077,867067232256.0
100.0,0.525,0.078,867829350400.0
100.0,0.525,0.079,865311784960.0
100.0,0.525,0.08,868230103040.0
100.0,0.525,0.081,866028945408.0
100.0,0.525,0.082,868724244480.0
100.0,0.525,0.083,865600012288.0
100.0,0.525,0.084,868792139776.0
100.0,0.525,0.085,864367345664.0
100.0,0.525,0.08600000000000001,868437917696.0
100.0,0.525,0.08700000000000001,867537059840.0
100.0,0.525,0.088,867493478400.0
100.0,0.525,0.089,866718384128.0
100.0,0.525,0.09,868547821568.0
100.0,0.525,0.091,866559918080.0
100.0,0.525,0.092,864976699392.0
100.0,0.525,0.093,864753745920.0
100.0,0.525,0.094,868557062144.0
100.0,0.525,0.095,868154081280.0
100.0,0.525,0.096,867070509056.0
100.0,0.525,0.097,865909932032.0
100.0,0.525,0.098,871844413440.0
100.0,0.525,0.099,869985878016.0
100.0,0.525,0.1,865298087936.0
200.0,0.525,0.0,908324372480.0
200.0,0.525,0.001,910978383872.0
200.0,0.525,0.002,910631043072.0
200.0,0.525,0.003,900644143104.0
200.0,0.525,0.004,895114608640.0
200.0,0.525,0.005,888057823232.0
