loc,std,height,loss
0.0,1.0,0.0,906442113024.0
0.0,1.0,1111.111111111111,792666243072.0
0.0,1.0,2222.222222222222,1452142886912.0
0.0,1.0,3333.333333333333,2932521566208.0
0.0,1.0,4444.444444444444,5454543978496.0
0.0,1.0,5555.555555555556,9187366010880.0
0.0,1.0,6666.666666666666,14312064155648.0
0.0,1.0,7777.777777777777,20950389096448.0
0.0,1.0,8888.888888888889,29551774138368.0
0.0,1.0,10000.0,40139787075584.0
0.0,0.35938136638046275,0.0,908032147456.0
0.0,0.35938136638046275,1111.111111111111,1313140244480.0
0.0,0.35938136638046275,2222.222222222222,4429385826304.0
0.0,0.35938136638046275,3333.333333333333,11650370371584.0
0.0,0.35938136638046275,4444.444444444444,25648575807488.0
0.0,0.35938136638046275,5555.555555555556,50393941803008.0
0.0,0.35938136638046275,6666.666666666666,92576099074048.0
0.0,0.35938136638046275,7777.777777777777,167794607915008.0
0.0,0.35938136638046275,8888.888888888889,309681302011904.0
0.0,0.35938136638046275,10000.0,623574826090496.0
0.0,0.12915496650148842,0.0,908764250112.0
0.0,0.12915496650148842,1111.111111111111,1233506271232.0
0.0,0.12915496650148842,2222.222222222222,3390133239808.0
0.0,0.12915496650148842,3333.333333333333,8594089574400.0
0.0,0.12915496650148842,4444.444444444444,18372368531456.0
0.0,0.12915496650148842,5555.555555555556,35859856359424.0
0.0,0.12915496650148842,6666.666666666666,67366826278912.0
0.0,0.12915496650148842,7777.777777777777,123463868088320.0
0.0,0.12915496650148842,8888.888888888889,228864882114560.0
0.0,0.12915496650148842,10000.0,459788899057664.0
0.0,0.046415888336127795,0.0,907777015808.0
0.0,0.046415888336127795,1111.111111111111,869092294656.0
0.0,0.046415888336127795,2222.222222222222,904908308480.0
0.0,0.046415888336127795,3333.333333333333,1033151643648.0
0.0,0.046415888336127795,4444.444444444444,1261779681280.0
0.0,0.046415888336127795,5555.555555555556,1612380635136.0
0.0,0.046415888336127795,6666.666666666666,2133747695616.0
